                  ,                                                                                                   ,     ,         ,                                        ,         , 2026 Update    ,        , 0.03
                  ,                                                                                                   ,     ,         ,                                        ,         , Revised Pricing,        , 
                  ,                                                                                                   ,     ,         ,                                        ,         , Install        , Remove , Transfer
APL               , Animal Proofing w/Lead cover                                                                      , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 13.35          , 8.9    , 0
ARD               , Armor rod                                                                                         , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
BKT-CMX           , Transformer cluster bracket                                                                       , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 50.48          , 27.53  , 74.81
BKT-PLT           , Platform                                                                                          , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
CAP               , "Capacitor (single tank, any size, any voltage)"                                                  , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 62.29          , 22.25  , 46.72
CND-FL            , "CND, Fuse Link"                                                                                  , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 28.92          , 0      , 0
CND-LGRLR         , "CND,Line Guard Roller"                                                                           , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 40.05          , 20.02  , 51.17
CND-PCS           , "CND,Primary Cable Spacer"                                                                        , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 46.72          , 46.72  , 80.57
CND-SB            , Secondary breaker                                                                                 , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 50.17          , 23.07  , 0
CND-SBT           , "CND,Secondary Breaker Twist/lash"                                                                , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 17.8           , 0      , 0
CND-TC2750        , "CND,Trunion,Clamp,2750 kcmil max"                                                                , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 68.97          , 41.95  , 0
CON-SEC-L         , "Large secondary cable (Quad or triplex, greater than 4/0)"                                       , FT  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0.42           , 0.14   , 0.42
CPD-BC            , "CPD,Bushing Cvr"                                                                                 , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 6.67           , 3.81   , 0
CPD-CC            , "CPD,Control Wire"                                                                                , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 22.25          , 19.07  , 38.14
